,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
645,2018,806,0,ESCUELA FRONTERA LAS RAMADAS, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-31,01686668","-70,58000946",0,110,0,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO
646,2018,807,9,ESCUELA EL MAITEN, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,80577087","-70,59603882",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
647,2018,808,7,ESCUELA BASICA TULAHUEN PONIENTE, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-31,00357425","-70,71807123",0,0,0,0,0,0,0,0,0,0,0,3,1, ,GRATUITO,GRATUITO
648,2018,809,5,ESCUELA DE HUANILLA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,76216316","-71,04441833",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
649,2018,810,9,ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,74362373","-70,59973145",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
650,2018,811,7,ESCUELA VARILLAR, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,73688668","-70,75275634",0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
651,2018,812,5,ESCUELA SOL DE LAS PRADERAS, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,75559616","-70,72649384",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
652,2018,813,3,ESCUELA BASICA LA UNION, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,78363991","-70,81820679",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
653,2018,814,1,ESCUELA BASICA EL TAYAN, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,97718048","-70,73887634",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
654,2018,816,8,ESCUELA GUSTAVO CONTRERAS CASTRO, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,63772011","-70,94784546",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
655,2018,817,6,ESCUELA NUEVA ESPERANZA DE PEJERREYES, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-31,02586937","-70,61018372",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
