,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
432,2019,551,7,ESCUELA DE LAS ROJAS, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,977725980000","-71,056388850000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
433,2019,552,5,ESCUELA DE CHACAY ALTO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,640602110000","-71,095130920000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
434,2019,553,3,ESCUELA DE BELLAVISTA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,92426421","-71,17507938",0,0,0,0,0,0,0,0,0,0,0,0,0,2,9, ,SIN INFORMACION,SIN INFORMACION
435,2019,554,1,ESCUELA DE PELICANA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,987539290000","-71,008575440000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
436,2019,556,8,ESCUELA DE ROMERO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,891515730000","-71,143898010000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
437,2019,557,6,ESCUELA DE SATURNO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,973051070000","-71,089225770000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
438,2019,558,4,COLEGIO PUNTA DE TEATINOS, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,816194530000","-71,279983520000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
439,2019,559,2,COLEGIO AGUA GRANDE, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
440,2019,560,6,COLEGIO QUEBRADA DE TALCA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-30,008302690000","-71,036712650000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
441,2019,561,4,COLEGIO EL ROMERAL, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,720447540000","-71,216316220000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
442,2019,562,2,COLEGIO CALETA SAN PEDRO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,879127500000","-71,271141050000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
443,2019,563,0,COLEGIO LA LAJA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,642400740000","-70,772140500000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
